epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,5.741820335388184,0.2753118872642517,5.088366985321045,0.36747443675994873
1,3.9423303604125977,0.48418745398521423,4.306942462921143,0.4649938941001892
2,3.443117141723633,0.556410014629364,4.049914360046387,0.49753445386886597
3,3.2333014011383057,0.5878528356552124,3.883507013320923,0.5252527594566345
4,3.0800704956054688,0.6116724610328674,3.7948427200317383,0.5398369431495667
5,2.977809190750122,0.6277848482131958,3.7239410877227783,0.5489633679389954
6,2.9019968509674072,0.6405633091926575,3.6937415599823,0.5537527203559875
7,2.8408560752868652,0.65111243724823,3.665470600128174,0.5579811334609985
8,2.7885782718658447,0.6607764959335327,3.662531852722168,0.5618207454681396
9,2.741774082183838,0.6695213317871094,3.675198793411255,0.5596391558647156
10,2.69983172416687,0.6779255270957947,3.676485776901245,0.560285747051239
11,2.6597912311553955,0.6862670183181763,3.6851186752319336,0.5602888464927673
12,2.623649835586548,0.693993091583252,3.6910080909729004,0.5618181824684143
13,2.5916361808776855,0.7012520432472229,3.708996534347534,0.5605177283287048
14,2.562568187713623,0.7078370451927185,3.7119641304016113,0.5623648166656494
15,2.5360300540924072,0.714210033416748,3.726440668106079,0.5622434616088867
16,2.5123603343963623,0.7197883129119873,3.7507147789001465,0.5599830746650696
17,2.489182233810425,0.7251337170600891,3.7474372386932373,0.5614672303199768
18,2.4656789302825928,0.7308384776115417,3.769476890563965,0.5603938698768616
